Board Type,Transport Type,Line,Destination,Time,Minutes Left
arrival,Länstrafik - Buss,61,Unknown,2025-01-22 22:03:00,0
arrival,Länstrafik - Spårväg,6,Unknown,2025-01-22 22:03:00,0
arrival,Länstrafik - Spårväg,2,Unknown,2025-01-22 22:04:00,1
arrival,Länstrafik - Spårväg,6,Unknown,2025-01-22 22:04:00,1
arrival,Länstrafik - Buss,61,Unknown,2025-01-22 22:05:00,2
arrival,Flygtransfer - Buss,.,Unknown,2025-01-22 22:05:00,2
arrival,Länstrafik - Spårväg,6,Unknown,2025-01-22 22:05:00,2
arrival,Länstrafik - Spårväg,4,Unknown,2025-01-22 22:06:00,3
arrival,Länstrafik - Spårväg,2,Unknown,2025-01-22 22:06:00,3
arrival,Länstrafik - Buss,X4,Unknown,2025-01-22 22:07:00,4
arrival,Länstrafik - Spårväg,8,Unknown,2025-01-22 22:07:00,4
arrival,Länstrafik - Buss,18,Unknown,2025-01-22 22:07:00,4
arrival,Länstrafik - Spårväg,5,Unknown,2025-01-22 22:07:00,4
arrival,Länstrafik - Buss,X4,Unknown,2025-01-22 22:08:00,5
arrival,Länstrafik - Spårväg,8,Unknown,2025-01-22 22:09:00,6
arrival,Länstrafik - Spårväg,2,Unknown,2025-01-22 22:09:00,6
arrival,Länstrafik - Buss,18,Unknown,2025-01-22 22:09:00,6
arrival,Länstrafik - Spårväg,2,Unknown,2025-01-22 22:10:00,7
arrival,Länstrafik - Buss,63,Unknown,2025-01-22 22:11:00,8
arrival,Länstrafik - Spårväg,8,Unknown,2025-01-22 22:15:00,12
arrival,Länstrafik - Buss,63,Unknown,2025-01-22 22:15:00,12
arrival,Länstrafik - Buss,RÖD,Unknown,2025-01-22 22:15:00,12
arrival,Länstrafik - Spårväg,8,Unknown,2025-01-22 22:16:00,13
arrival,Länstrafik - Buss,18,Unknown,2025-01-22 22:16:00,13
arrival,Länstrafik - Spårväg,4,Unknown,2025-01-22 22:17:00,14
arrival,Länstrafik - Spårväg,2,Unknown,2025-01-22 22:17:00,14
